electrode_name	electrode_type	session_name	loc_x	loc_y	loc_z	m0n0	m0n1	m0n2	m1n0	m1n1	m1n2	m2n0	m2n1	m2n2
22	EEG	TMS_V3 	72.254	-34.339	57.654	0.173	0.583	0.794	-0.590	-0.584	0.557	0.788	-0.565	0.243
19	EEG	TMS_V3 	54.099	-55.901	53.654	0.577	0.607	0.546	-0.514	-0.250	0.821	0.635	-0.754	0.168
31	EEG	TMS_V3 	78.832	47.224	25.654	-0.197	0.794	0.575	0.139	-0.558	0.818	0.970	0.241	0.000
27	EEG	TMS_V3 	83.741	20.036	29.654	-0.198	0.902	0.384	0.037	-0.384	0.922	0.979	0.197	0.042
27	EEG	TMS_V3 	80.823	19.099	-5.346	0.083	0.597	0.798	0.125	-0.801	0.586	0.989	0.051	-0.141
26	EEG	TMS_V3 	85.144	0.349	28.654	0.032	0.649	0.760	-0.129	-0.751	0.647	0.991	-0.119	0.060
23	EEG	TMS_V3 	76.773	-31.526	29.654	0.077	0.248	0.966	-0.531	-0.810	0.251	0.844	-0.532	0.069
21	EEG	TMS_V3 	70.781	-36.214	-10.801	0.534	0.521	0.667	-0.261	-0.649	0.715	0.805	-0.555	-0.210
20	EEG	TMS_V3 	60.468	-53.521	26.654	0.452	0.498	0.740	-0.561	-0.486	0.670	0.694	-0.718	0.059
18	EEG	TMS_V3 	34.010	-71.839	29.654	0.708	0.280	0.648	-0.615	-0.207	0.761	0.347	-0.937	0.025
FidNz	Nasion	TMS_V4	5.156	104.105	-17.346	-0.221	-0.339	-0.914	-0.973	0.017	0.229	-0.062	0.941	-0.334
FidT9	LPA	TMS_V4	-67.969	8.578	-22.346	0.727	-0.277	0.629	-0.641	-0.601	0.476	0.246	-0.749	-0.615
FidT10	RPA	TMS_V4	75.468	9.724	-35.048	0.719	-0.679	0.150	-0.688	-0.726	0.009	0.103	-0.110	-0.989
Gnd	EEG	TMS_V4	13.593	108.952	23.654	-0.347	0.214	-0.913	-0.930	0.044	0.364	0.118	0.976	0.184
3	EEG	TMS_V4	9.843	95.974	56.715	-0.563	0.503	-0.655	-0.826	-0.318	0.466	0.026	0.804	0.595
2	EEG	TMS_V4	11.718	76.286	78.202	-0.731	0.546	-0.409	-0.678	-0.518	0.521	0.072	0.658	0.749
32	EEG	TMS_V4	13.593	53.786	93.739	-0.465	0.796	-0.389	-0.881	-0.369	0.297	0.093	0.480	0.872
24	EEG	TMS_V4	13.593	20.974	107.419	-0.597	0.799	-0.067	-0.786	-0.566	0.249	0.161	0.202	0.966
21	EEG	TMS_V4	12.656	-12.776	109.135	-0.697	0.717	0.003	-0.717	-0.697	-0.001	0.002	-0.003	1.000
13	EEG	TMS_V4	9.843	-46.145	98.654	0.336	0.734	0.590	-0.941	0.287	0.180	-0.037	-0.615	0.787
16	EEG	TMS_V4	9.843	-68.538	68.654	0.779	0.233	0.583	-0.627	0.258	0.735	0.021	-0.938	0.347
17	EEG	TMS_V4	6.093	-77.039	35.654	0.687	0.055	0.724	-0.726	0.002	0.688	0.036	-0.998	0.042
4	EEG	TMS_V4	-11.719	74.438	76.654	-0.715	0.400	-0.574	-0.673	-0.615	0.410	-0.189	0.679	0.709
7	EEG	TMS_V4	-13.594	52.549	92.654	-0.833	0.337	-0.438	-0.496	-0.806	0.323	-0.245	0.486	0.839
8	EEG	TMS_V4	-16.046	20.036	106.654	-0.613	0.700	-0.366	-0.746	-0.666	-0.025	-0.261	0.258	0.930
12	EEG	TMS_V4	-16.407	-12.776	109.117	-0.975	0.222	-0.025	-0.221	-0.975	-0.019	-0.029	-0.013	0.999
12	EEG	TMS_V4	-11.719	-48.401	95.747	-0.517	0.669	0.533	-0.856	-0.397	-0.331	-0.010	-0.628	0.778
1	EEG	TMS_V4	-16.407	105.177	25.654	-0.894	-0.225	-0.387	-0.315	-0.298	0.901	-0.318	0.928	0.196
2	EEG	TMS_V4	-19.219	91.849	53.654	-0.327	0.480	-0.814	-0.891	-0.444	0.096	-0.315	0.756	0.573
3	EEG	TMS_V4	-33.282	72.196	68.654	-0.722	0.102	-0.684	-0.491	-0.772	0.403	-0.487	0.627	0.608
7	EEG	TMS_V4	-44.017	49.099	78.654	-0.577	0.279	-0.768	-0.572	-0.809	0.136	-0.583	0.517	0.626
8	EEG	TMS_V4	-49.219	18.161	92.521	-0.391	0.758	-0.522	-0.775	-0.577	-0.257	-0.496	0.304	0.813
11	EEG	TMS_V4	-52.969	-16.526	95.191	-0.730	-0.094	-0.677	0.151	-0.988	-0.026	-0.667	-0.121	0.736
14	EEG	TMS_V4	-44.532	-49.035	82.654	-0.737	-0.047	-0.674	0.454	-0.774	-0.442	-0.501	-0.631	0.592
15	EEG	TMS_V4	-23.907	-68.726	61.654	0.561	0.139	0.816	-0.812	0.282	0.511	-0.159	-0.949	0.271
16	EEG	TMS_V4	-17.344	-75.570	36.654	0.147	-0.083	-0.986	0.967	-0.197	0.161	-0.207	-0.977	0.051
1	EEG	TMS_V4	-44.532	89.997	26.654	-0.232	0.173	-0.957	-0.754	-0.653	0.065	-0.614	0.737	0.282
5	EEG	TMS_V4	-52.032	69.661	50.654	-0.698	-0.363	-0.617	-0.188	-0.739	0.647	-0.691	0.568	0.447
6	EEG	TMS_V4	-66.094	43.474	59.240	-0.564	0.055	-0.824	-0.443	-0.862	0.246	-0.697	0.504	0.510
9	EEG	TMS_V4	-76.407	18.161	62.174	-0.487	-0.153	-0.860	-0.132	-0.961	0.245	-0.864	0.232	0.447
11	EEG	TMS_V4	-75.259	-14.651	63.654	-0.280	0.008	-0.960	0.229	-0.971	-0.075	-0.932	-0.240	0.270
13	EEG	TMS_V4	-61.930	-46.526	59.654	0.585	-0.810	0.037	0.180	0.175	0.968	-0.791	-0.559	0.248
4	EEG	TMS_V4	-63.094	68.786	24.654	-0.162	-0.100	-0.982	-0.535	-0.827	0.172	-0.829	0.553	0.080
6	EEG	TMS_V4	-77.663	38.786	31.654	-0.301	-0.679	-0.669	-0.158	-0.656	0.738	-0.940	0.328	0.091
5	EEG	TMS_V4	-76.010	34.099	-8.346	0.075	-0.317	-0.946	-0.063	-0.948	0.312	-0.995	0.036	-0.091
9	EEG	TMS_V4	-84.349	12.536	25.654	0.003	-0.104	-0.995	-0.010	-0.994	0.104	-1.000	0.009	-0.004
10	EEG	TMS_V4	-78.683	-18.401	29.654	0.187	-0.603	-0.776	0.335	-0.703	0.627	-0.924	-0.377	0.071
10	EEG	TMS_V4	-72.657	-27.447	-10.346	0.590	-0.229	-0.774	0.594	-0.526	0.608	-0.547	-0.819	-0.174
15	EEG	TMS_V4	-70.332	-39.964	31.654	-0.139	0.153	-0.978	0.325	-0.926	-0.191	-0.935	-0.345	0.079
14	EEG	TMS_V4	-47.344	-65.776	32.654	0.814	-0.556	-0.169	0.160	-0.066	0.985	-0.559	-0.829	0.036
31	EEG	TMS_V4	29.531	70.661	77.727	-0.615	0.726	-0.308	-0.718	-0.355	0.598	0.325	0.589	0.740
29	EEG	TMS_V4	38.906	47.715	86.654	-0.400	0.889	-0.224	-0.795	-0.214	0.568	0.457	0.405	0.792
25	EEG	TMS_V4	39.843	19.099	99.101	-0.313	0.935	-0.167	-0.848	-0.196	0.492	0.428	0.296	0.854
23	EEG	TMS_V4	37.968	-12.776	105.458	-0.851	0.492	0.185	-0.455	-0.865	0.210	0.264	0.095	0.960
20	EEG	TMS_V4	34.593	-46.526	92.654	-0.120	0.631	0.766	-0.917	-0.366	0.158	0.380	-0.684	0.623
32	EEG	TMS_V4	30.632	103.474	26.654	-0.830	0.360	0.426	0.346	-0.266	0.900	0.438	0.894	0.097
30	EEG	TMS_V4	37.031	92.224	47.802	-0.537	0.674	-0.507	-0.698	-0.017	0.716	0.473	0.739	0.480
30	EEG	TMS_V4	50.156	69.391	64.654	-0.322	0.804	-0.500	-0.738	0.118	0.664	0.593	0.583	0.556
26	EEG	TMS_V4	60.468	41.036	73.654	-0.650	0.705	0.284	-0.332	-0.599	0.729	0.683	0.380	0.623
25	EEG	TMS_V4	66.538	13.474	81.654	-0.335	0.941	0.044	-0.612	-0.253	0.750	0.717	0.224	0.660
22	EEG	TMS_V4	66.375	-18.401	84.654	-0.410	0.552	0.726	-0.522	-0.795	0.310	0.748	-0.252	0.614
19	EEG	TMS_V4	52.031	-50.661	72.654	0.772	0.633	0.058	-0.303	0.286	0.909	0.558	-0.720	0.413
17	EEG	TMS_V4	31.406	-68.632	55.654	0.484	0.312	0.818	-0.830	-0.131	0.542	0.277	-0.941	0.196
18	EEG	TMS_V4	26.718	-74.351	23.654	0.745	0.265	0.612	-0.579	-0.199	0.791	0.331	-0.943	0.005
29	EEG	TMS_V4	54.671	84.724	29.654	-0.695	0.717	-0.053	-0.161	-0.084	0.983	0.701	0.692	0.173
28	EEG	TMS_V4	64.633	64.099	47.654	-0.591	0.588	0.552	0.076	-0.641	0.764	0.803	0.493	0.334
28	EEG	TMS_V4	75.468	39.724	53.839	-0.601	0.711	0.366	-0.181	-0.567	0.804	0.778	0.417	0.469
24	EEG	TMS_V4	82.125	9.724	59.654	-0.197	0.880	0.432	-0.226	-0.470	0.853	0.954	0.070	0.291
22	EEG	TMS_V4	78.855	-21.214	56.654	0.209	0.827	0.523	-0.317	-0.449	0.836	0.925	-0.340	0.168
19	EEG	TMS_V4	62.191	-48.401	51.654	0.641	0.696	0.324	-0.339	-0.122	0.933	0.689	-0.708	0.157
31	EEG	TMS_V4	72.832	62.224	17.654	-0.075	0.111	0.991	0.465	-0.875	0.134	0.882	0.471	0.014
27	EEG	TMS_V4	80.527	35.974	17.654	0.032	0.175	0.984	0.107	-0.980	0.170	0.994	0.100	-0.050
27	EEG	TMS_V4	79.625	34.099	-21.346	0.017	0.024	1.000	0.010	-1.000	0.024	1.000	0.009	-0.018
26	EEG	TMS_V4	85.286	5.974	23.654	0.000	0.770	0.638	0.000	-0.638	0.770	1.000	0.000	0.000
23	EEG	TMS_V4	82.031	-21.526	23.654	0.117	0.595	0.795	-0.278	-0.749	0.602	0.953	-0.291	0.078
21	EEG	TMS_V4	78.281	-21.214	-17.346	0.871	-0.244	-0.426	-0.474	-0.644	-0.600	-0.128	0.725	-0.677
20	EEG	TMS_V4	69.093	-42.776	23.654	0.383	0.647	0.660	-0.412	-0.520	0.749	0.827	-0.558	0.067
18	EEG	TMS_V4	44.531	-66.943	24.654	0.026	0.012	1.000	-0.823	-0.567	0.028	0.568	-0.823	-0.005
FidNz	Nasion	TMS_V5	5.156	103.024	-20.346	-0.769	-0.214	-0.603	-0.639	0.228	0.735	-0.020	0.950	-0.312
FidT9	LPA	TMS_V5	-74.008	9.724	-30.346	0.076	-0.911	-0.405	-0.523	-0.382	0.762	-0.849	0.154	-0.506
FidT10	RPA	TMS_V5	77.742	2.224	-30.346	-0.010	0.661	0.750	0.145	-0.742	0.655	0.989	0.115	-0.088
Gnd	EEG	TMS_V5	4.218	109.387	22.654	-0.591	0.148	-0.793	-0.807	-0.122	0.578	-0.011	0.982	0.191
3	EEG	TMS_V5	9.843	92.956	60.654	-0.785	0.424	-0.452	-0.615	-0.444	0.652	0.076	0.790	0.609
2	EEG	TMS_V5	7.031	66.911	85.336	-0.869	0.380	-0.317	-0.493	-0.709	0.504	-0.033	0.594	0.804
32	EEG	TMS_V5	7.968	35.974	102.225	-0.598	0.744	-0.297	-0.797	-0.513	0.318	0.084	0.427	0.900
24	EEG	TMS_V5	5.156	5.036	110.135	-0.284	0.959	0.000	-0.959	-0.284	0.000	0.000	0.000	1.000
21	EEG	TMS_V5	0.468	-25.901	107.752	-0.976	0.217	0.029	-0.218	-0.951	-0.220	-0.020	-0.221	0.975
13	EEG	TMS_V5	2.343	-51.214	93.207	-0.957	0.230	0.178	-0.286	-0.635	-0.718	-0.052	-0.737	0.674
16	EEG	TMS_V5	-0.469	-70.518	64.654	0.011	0.372	0.928	-1.000	-0.014	0.017	0.019	-0.928	0.372
17	EEG	TMS_V5	-5.157	-76.986	33.654	0.994	-0.019	0.108	-0.107	0.061	0.992	-0.025	-0.998	0.059
4	EEG	TMS_V5	-14.532	66.911	82.358	-0.956	0.065	-0.286	-0.219	-0.806	0.549	-0.195	0.588	0.785
7	EEG	TMS_V5	-18.282	38.786	98.016	-0.965	-0.136	-0.223	0.022	-0.893	0.450	-0.261	0.429	0.865
8	EEG	TMS_V5	-23.516	5.036	107.654	-0.390	0.893	-0.223	-0.888	-0.429	-0.165	-0.243	0.134	0.961
12	EEG	TMS_V5	-29.532	-27.776	105.340	-0.083	0.975	0.204	-0.972	-0.035	-0.231	-0.218	-0.218	0.951
12	EEG	TMS_V5	-24.844	-52.151	90.086	0.744	-0.541	-0.393	0.643	0.419	0.641	-0.182	-0.729	0.660
1	EEG	TMS_V5	-19.219	104.974	21.654	-0.240	0.087	-0.967	-0.910	-0.367	0.192	-0.338	0.926	0.167
2	EEG	TMS_V5	-22.969	87.125	57.654	-0.851	0.007	-0.524	-0.407	-0.639	0.653	-0.331	0.769	0.547
3	EEG	TMS_V5	-36.094	66.286	71.654	-0.664	0.168	-0.728	-0.506	-0.818	0.273	-0.550	0.550	0.629
7	EEG	TMS_V5	-48.282	40.661	81.059	-0.602	0.272	-0.751	-0.528	-0.841	0.119	-0.599	0.468	0.650
8	EEG	TMS_V5	-54.969	9.724	91.654	-0.813	-0.166	-0.558	-0.023	-0.948	0.317	-0.582	0.270	0.767
11	EEG	TMS_V5	-56.719	-24.964	88.951	0.349	-0.933	-0.085	0.652	0.176	0.738	-0.674	-0.313	0.670
14	EEG	TMS_V5	-48.282	-51.214	76.654	0.238	0.413	0.879	-0.782	0.618	-0.079	-0.576	-0.669	0.470
15	EEG	TMS_V5	-27.007	-69.026	58.654	0.929	-0.140	0.342	-0.275	0.355	0.893	-0.246	-0.924	0.292
16	EEG	TMS_V5	-22.032	-74.831	32.654	0.853	-0.154	0.499	-0.476	0.164	0.864	-0.214	-0.974	0.066
1	EEG	TMS_V5	-44.532	89.177	28.654	-0.561	-0.127	-0.818	-0.557	-0.673	0.487	-0.612	0.729	0.307
5	EEG	TMS_V5	-53.907	65.693	52.654	-0.153	0.508	-0.848	-0.699	-0.662	-0.270	-0.699	0.551	0.456
6	EEG	TMS_V5	-69.027	38.786	59.654	-0.449	0.159	-0.879	-0.509	-0.855	0.104	-0.735	0.494	0.464
9	EEG	TMS_V5	-78.863	8.786	59.654	-0.237	-0.711	-0.662	0.215	-0.703	0.678	-0.948	0.018	0.319
11	EEG	TMS_V5	-73.913	-22.151	60.654	0.110	-0.831	-0.545	0.336	-0.485	0.807	-0.935	-0.272	0.226
13	EEG	TMS_V5	-61.854	-48.401	55.654	0.254	0.033	0.967	-0.531	0.840	0.111	-0.808	-0.542	0.231
4	EEG	TMS_V5	-64.219	65.974	29.765	-0.508	-0.562	-0.652	-0.275	-0.612	0.742	-0.816	0.556	0.156
6	EEG	TMS_V5	-78.851	35.974	28.654	-0.284	-0.762	-0.581	-0.126	-0.571	0.811	-0.950	0.304	0.066
5	EEG	TMS_V5	-75.543	33.161	-13.346	0.164	-0.087	-0.983	-0.087	-0.994	0.073	-0.983	0.073	-0.171
9	EEG	TMS_V5	-84.051	16.286	25.654	-0.175	-0.958	-0.227	-0.056	-0.221	0.974	-0.983	0.183	-0.015
10	EEG	TMS_V5	-76.120	-24.964	27.654	0.302	-0.807	-0.508	0.265	-0.441	0.858	-0.916	-0.393	0.081
10	EEG	TMS_V5	-77.385	-24.026	-12.346	0.438	-0.894	-0.096	-0.011	-0.112	0.994	-0.899	-0.435	-0.059
15	EEG	TMS_V5	-69.375	-44.651	22.654	0.216	-0.579	-0.786	0.474	-0.642	0.603	-0.854	-0.502	0.136
14	EEG	TMS_V5	-47.344	-66.318	20.654	0.766	-0.463	0.446	-0.373	0.244	0.895	-0.524	-0.852	0.014
31	EEG	TMS_V5	27.708	67.849	80.654	-0.909	0.397	0.127	-0.238	-0.744	0.625	0.342	0.538	0.771
29	EEG	TMS_V5	36.093	41.045	91.654	-0.724	0.689	0.036	-0.535	-0.594	0.601	0.435	0.416	0.798
25	EEG	TMS_V5	37.031	8.786	103.470	-0.442	0.897	0.015	-0.813	-0.408	0.417	0.380	0.172	0.909
23	EEG	TMS_V5	36.093	-24.964	105.474	-0.334	0.912	0.239	-0.908	-0.379	0.177	0.252	-0.158	0.955
20	EEG	TMS_V5	30.156	-54.026	86.654	0.519	0.642	0.565	-0.806	0.147	0.573	0.285	-0.753	0.594
32	EEG	TMS_V5	32.343	102.634	26.654	-0.844	0.458	-0.278	-0.294	0.038	0.955	0.448	0.888	0.103
30	EEG	TMS_V5	37.968	86.887	54.654	-0.854	0.519	-0.007	-0.274	-0.440	0.855	0.441	0.732	0.519
30	EEG	TMS_V5	50.156	64.168	69.654	-0.745	0.628	0.227	-0.262	-0.588	0.765	0.614	0.510	0.602
26	EEG	TMS_V5	59.531	35.036	78.293	-0.710	0.596	0.374	-0.236	-0.702	0.672	0.663	0.388	0.640
25	EEG	TMS_V5	64.036	5.974	86.654	-0.400	0.909	0.120	-0.613	-0.363	0.702	0.681	0.207	0.702
22	EEG	TMS_V5	63.281	-24.223	85.654	-0.317	0.583	0.748	-0.607	-0.731	0.312	0.729	-0.355	0.586
19	EEG	TMS_V5	50.156	-51.574	73.654	-0.004	0.489	0.872	-0.820	-0.500	0.277	0.572	-0.715	0.403
17	EEG	TMS_V5	27.656	-69.439	56.654	0.435	0.299	0.849	-0.873	-0.090	0.479	0.220	-0.950	0.221
18	EEG	TMS_V5	21.093	-75.300	31.654	0.843	0.182	0.506	-0.505	-0.051	0.861	0.182	-0.982	0.048
29	EEG	TMS_V5	58.593	81.911	23.876	-0.498	0.720	-0.484	-0.418	0.290	0.861	0.760	0.630	0.156
28	EEG	TMS_V5	67.031	60.133	47.654	-0.500	0.865	-0.047	-0.310	-0.128	0.942	0.809	0.485	0.332
28	EEG	TMS_V5	77.547	34.099	54.654	-0.061	0.832	-0.551	-0.511	0.449	0.733	0.858	0.326	0.398
24	EEG	TMS_V5	83.149	3.161	55.654	-0.076	0.737	0.672	-0.147	-0.675	0.723	0.986	-0.043	0.160
22	EEG	TMS_V5	77.937	-24.964	53.654	-0.058	0.256	0.965	-0.397	-0.893	0.213	0.916	-0.371	0.153
19	EEG	TMS_V5	61.406	-49.627	49.654	0.193	0.396	0.898	-0.701	-0.585	0.408	0.687	-0.708	0.165
31	EEG	TMS_V5	76.687	53.786	20.654	-0.125	0.359	0.925	0.351	-0.856	0.380	0.928	0.371	-0.019
27	EEG	TMS_V5	81.797	29.411	21.654	-0.157	0.912	0.378	0.125	-0.362	0.924	0.980	0.192	-0.057
27	EEG	TMS_V5	79.972	24.724	-16.346	0.021	0.819	0.573	0.146	-0.570	0.809	0.989	0.066	-0.132
26	EEG	TMS_V5	85.215	-2.464	23.654	0.053	0.932	0.359	-0.064	-0.356	0.932	0.997	-0.072	0.041
23	EEG	TMS_V5	80.156	-26.472	23.654	-0.005	0.175	0.985	-0.431	-0.889	0.156	0.902	-0.423	0.080
21	EEG	TMS_V5	71.718	-33.200	-15.346	0.645	-0.208	0.735	-0.726	-0.468	0.505	0.239	-0.859	-0.453
20	EEG	TMS_V5	66.552	-46.526	23.654	0.068	0.232	0.970	-0.552	-0.802	0.231	0.831	-0.551	0.073
18	EEG	TMS_V5	46.406	-65.581	27.654	0.668	0.519	0.533	-0.433	-0.312	0.846	0.605	-0.796	0.016
FidNz	Nasion	TMS_V6	7.031	103.728	-18.346	-0.168	-0.351	-0.921	-0.984	0.110	0.138	0.053	0.930	-0.364
FidT9	LPA	TMS_V6	-66.094	16.286	-35.368	0.540	-0.840	-0.047	-0.798	-0.529	0.289	-0.268	-0.119	-0.956
FidT10	RPA	TMS_V6	78.071	5.036	-25.346	0.151	0.446	0.882	-0.014	-0.891	0.453	0.988	-0.081	-0.129
Gnd	EEG	TMS_V6	6.093	107.837	29.654	-0.376	0.194	-0.906	-0.926	-0.113	0.360	-0.033	0.974	0.222
3	EEG	TMS_V6	5.156	95.528	56.654	-0.792	0.299	-0.532	-0.602	-0.530	0.598	-0.103	0.794	0.599
2	EEG	TMS_V6	4.218	71.786	81.654	-0.829	0.434	-0.353	-0.558	-0.685	0.468	-0.039	0.585	0.810
32	EEG	TMS_V6	5.156	46.990	97.654	-0.832	0.523	-0.187	-0.553	-0.755	0.353	0.044	0.397	0.917
24	EEG	TMS_V6	3.281	8.786	110.135	-0.966	0.257	0.000	-0.257	-0.966	0.000	0.000	0.000	1.000
21	EEG	TMS_V6	-2.344	-23.089	108.182	-1.000	0.020	0.000	-0.020	-0.991	-0.132	-0.002	-0.132	0.991
13	EEG	TMS_V6	-5.157	-56.334	87.654	0.544	0.574	0.612	-0.839	0.372	0.397	0.000	-0.730	0.684
16	EEG	TMS_V6	-5.157	-71.839	60.466	-0.179	0.291	0.940	-0.983	-0.009	-0.184	-0.045	-0.957	0.288
17	EEG	TMS_V6	-4.219	-77.764	27.654	0.670	-0.003	0.742	-0.737	0.112	0.667	-0.085	-0.994	0.073
4	EEG	TMS_V6	-19.219	72.215	76.654	-0.476	0.541	-0.693	-0.839	-0.516	0.173	-0.264	0.664	0.700
7	EEG	TMS_V6	-22.969	47.224	92.089	-0.910	0.058	-0.410	-0.226	-0.899	0.375	-0.347	0.433	0.832
8	EEG	TMS_V6	-28.925	12.536	104.654	-0.719	0.567	-0.402	-0.607	-0.794	-0.035	-0.339	0.219	0.915
12	EEG	TMS_V6	-36.094	-19.339	104.968	-0.561	0.822	-0.099	-0.770	-0.562	-0.303	-0.305	-0.094	0.948
12	EEG	TMS_V6	-33.392	-54.964	83.654	-0.512	0.674	0.533	-0.797	-0.142	-0.587	-0.320	-0.725	0.610
1	EEG	TMS_V6	-17.344	105.253	23.654	-0.931	-0.281	-0.234	-0.168	-0.242	0.956	-0.325	0.929	0.178
2	EEG	TMS_V6	-25.782	90.747	50.654	-0.541	0.228	-0.810	-0.722	-0.620	0.307	-0.432	0.751	0.500
3	EEG	TMS_V6	-40.782	68.786	65.007	-0.619	0.208	-0.757	-0.568	-0.785	0.249	-0.542	0.584	0.604
7	EEG	TMS_V6	-50.157	43.943	76.654	-0.702	-0.012	-0.712	-0.338	-0.875	0.348	-0.627	0.484	0.610
8	EEG	TMS_V6	-61.407	13.474	84.731	-0.633	0.275	-0.724	-0.404	-0.915	0.006	-0.661	0.296	0.690
11	EEG	TMS_V6	-65.157	-20.276	81.185	-0.505	-0.238	-0.830	0.354	-0.934	0.052	-0.787	-0.268	0.556
14	EEG	TMS_V6	-54.844	-49.339	70.083	0.548	-0.767	-0.335	0.498	-0.023	0.867	-0.672	-0.642	0.369
15	EEG	TMS_V6	-35.157	-67.706	54.654	0.863	-0.398	-0.312	0.372	0.080	0.925	-0.343	-0.914	0.217
16	EEG	TMS_V6	-28.594	-73.984	27.654	0.952	-0.179	0.250	-0.238	0.084	0.968	-0.194	-0.980	0.037
1	EEG	TMS_V6	-48.282	87.956	22.654	-0.153	0.151	-0.977	-0.719	-0.695	0.005	-0.678	0.703	0.215
5	EEG	TMS_V6	-57.410	66.911	45.654	-0.604	-0.178	-0.776	-0.370	-0.800	0.472	-0.705	0.573	0.418
6	EEG	TMS_V6	-70.782	42.536	52.737	-0.467	0.033	-0.883	-0.421	-0.887	0.190	-0.777	0.461	0.428
9	EEG	TMS_V6	-80.708	9.724	52.654	-0.104	-0.885	-0.453	0.194	-0.465	0.864	-0.975	0.002	0.220
11	EEG	TMS_V6	-76.407	-18.964	49.654	0.286	-0.954	0.088	0.060	0.109	0.992	-0.956	-0.279	0.088
13	EEG	TMS_V6	-67.032	-43.639	45.654	0.462	-0.879	-0.119	0.202	-0.026	0.979	-0.864	-0.476	0.165
4	EEG	TMS_V6	-65.829	65.036	20.654	-0.456	-0.724	-0.517	-0.223	-0.470	0.854	-0.861	0.505	0.053
6	EEG	TMS_V6	-79.538	35.036	22.654	-0.248	-0.642	-0.726	-0.185	-0.704	0.685	-0.951	0.304	0.055
5	EEG	TMS_V6	-75.377	38.786	-18.346	0.042	-0.086	-0.995	0.196	-0.976	0.092	-0.980	-0.199	-0.024
9	EEG	TMS_V6	-82.969	9.724	16.529	0.096	-0.936	-0.340	-0.271	-0.353	0.896	-0.958	0.006	-0.287
10	EEG	TMS_V6	-80.242	-17.464	15.654	-0.201	-0.134	-0.970	0.454	-0.891	0.029	-0.868	-0.435	0.240
10	EEG	TMS_V6	-76.407	-23.089	-26.405	0.585	-0.781	0.220	-0.373	-0.018	0.928	-0.720	-0.625	-0.302
15	EEG	TMS_V6	-71.719	-40.901	19.225	0.359	-0.928	0.101	0.080	0.138	0.987	-0.930	-0.347	0.124
14	EEG	TMS_V6	-54.351	-60.589	21.654	0.228	-0.212	-0.950	0.683	-0.660	0.312	-0.693	-0.721	-0.006
31	EEG	TMS_V6	29.531	65.073	81.654	-0.938	0.237	0.254	-0.063	-0.835	0.547	0.342	0.497	0.797
29	EEG	TMS_V6	35.156	42.536	91.404	-0.803	0.579	0.142	-0.410	-0.709	0.574	0.433	0.403	0.806
25	EEG	TMS_V6	36.587	8.786	103.654	-0.426	0.905	0.011	-0.822	-0.392	0.413	0.378	0.167	0.911
23	EEG	TMS_V6	28.593	-27.350	106.654	-0.695	0.665	0.273	-0.700	-0.713	-0.047	0.163	-0.224	0.961
20	EEG	TMS_V6	22.968	-56.165	86.654	-0.293	0.600	0.744	-0.947	-0.291	-0.138	0.133	-0.745	0.654
32	EEG	TMS_V6	25.781	105.743	23.654	-0.752	0.321	-0.576	-0.576	0.106	0.811	0.321	0.941	0.105
30	EEG	TMS_V6	37.031	86.060	56.654	-0.653	0.644	-0.398	-0.631	-0.173	0.756	0.418	0.745	0.519
30	EEG	TMS_V6	50.156	62.224	71.086	-0.506	0.859	-0.074	-0.587	-0.280	0.760	0.633	0.428	0.646
26	EEG	TMS_V6	56.718	35.036	81.075	-0.777	0.418	0.471	-0.095	-0.817	0.569	0.622	0.398	0.675
25	EEG	TMS_V6	62.673	3.161	88.654	-0.399	0.889	0.222	-0.609	-0.438	0.661	0.686	0.129	0.717
22	EEG	TMS_V6	59.531	-28.714	87.091	-0.340	0.479	0.810	-0.638	-0.750	0.175	0.691	-0.457	0.560
19	EEG	TMS_V6	42.656	-56.646	74.654	0.192	0.622	0.759	-0.850	-0.281	0.445	0.490	-0.731	0.475
17	EEG	TMS_V6	21.093	-70.901	56.654	0.511	0.339	0.790	-0.837	-0.012	0.547	0.195	-0.941	0.278
18	EEG	TMS_V6	16.406	-76.119	28.654	0.893	0.108	0.436	-0.432	-0.064	0.900	0.125	-0.992	-0.010
29	EEG	TMS_V6	56.502	81.911	32.654	-0.623	0.504	0.598	0.281	-0.570	0.772	0.730	0.649	0.213
28	EEG	TMS_V6	65.625	59.411	51.654	-0.618	0.520	0.589	0.061	-0.716	0.696	0.783	0.466	0.411
28	EEG	TMS_V6	76.406	32.964	57.654	-0.357	0.929	-0.100	-0.490	-0.095	0.867	0.795	0.358	0.489
24	EEG	TMS_V6	82.464	1.286	58.654	-0.092	0.755	0.649	-0.185	-0.654	0.734	0.978	-0.053	0.200
22	EEG	TMS_V6	74.950	-30.589	55.654	0.228	0.731	0.643	-0.398	-0.532	0.747	0.888	-0.427	0.170
19	EEG	TMS_V6	54.843	-55.901	50.404	0.605	0.603	0.519	-0.478	-0.246	0.843	0.637	-0.758	0.139
31	EEG	TMS_V6	75.351	56.599	25.654	-0.419	0.805	0.421	0.115	-0.413	0.904	0.901	0.426	0.081
27	EEG	TMS_V6	82.500	26.599	25.654	-0.133	0.817	0.561	0.110	-0.550	0.828	0.985	0.172	-0.017
27	EEG	TMS_V6	80.285	25.661	-13.346	-0.101	0.994	0.029	0.127	-0.016	0.992	0.987	0.104	-0.125
