electrode_name	electrode_type	session_name	loc_x	loc_y	loc_z	m0n0	m0n1	m0n2	m1n0	m1n1	m1n2	m2n0	m2n1	m2n2
30	EEG	TMS_V1	40.116	95.036	38.654	-0.814	0.558	0.160	-0.060	-0.355	0.933	0.578	0.750	0.323
30	EEG	TMS_V1	50.420	74.411	58.654	-0.439	0.776	-0.454	-0.681	0.042	0.731	0.586	0.630	0.509
26	EEG	TMS_V1	60.468	51.911	66.428	-0.660	0.668	0.345	-0.226	-0.614	0.757	0.717	0.421	0.556
25	EEG	TMS_V1	64.218	25.661	78.848	-0.697	0.584	0.415	-0.224	-0.728	0.648	0.681	0.359	0.638
22	EEG	TMS_V1	62.233	-0.589	89.654	-0.491	0.817	0.302	-0.557	-0.561	0.612	0.669	0.132	0.731
19	EEG	TMS_V1	52.031	-36.607	88.654	-0.074	0.645	0.761	-0.796	-0.498	0.344	0.601	-0.580	0.550
17	EEG	TMS_V1	28.593	-56.084	84.654	0.462	0.627	0.627	-0.840	0.082	0.536	0.285	-0.775	0.564
18	EEG	TMS_V1	21.093	-69.776	60.654	0.499	0.302	0.812	-0.847	-0.028	0.531	0.183	-0.953	0.242
29	EEG	TMS_V1	60.290	82.849	7.654	-0.485	0.727	-0.486	-0.384	0.323	0.865	0.786	0.606	0.123
28	EEG	TMS_V1	68.121	65.036	35.654	-0.309	0.713	-0.629	-0.513	0.431	0.742	0.801	0.552	0.233
28	EEG	TMS_V1	78.606	41.599	43.654	-0.355	0.632	0.688	0.068	-0.717	0.694	0.932	0.294	0.212
24	EEG	TMS_V1	83.311	13.474	52.654	-0.105	0.209	0.972	0.035	-0.976	0.213	0.994	0.057	0.095
22	EEG	TMS_V1	79.218	-16.310	61.654	-0.223	0.260	0.939	-0.303	-0.935	0.187	0.927	-0.243	0.287
19	EEG	TMS_V1	66.093	-39.026	65.812	0.144	0.652	0.744	-0.622	-0.525	0.581	0.769	-0.547	0.330
